canonicalId,name,description,module,path
bmad-advanced-elicitation,bmad-advanced-elicitation,"Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.",core,.claude/skills/bmad-advanced-elicitation/SKILL.md
bmad-agent-analyst,bmad-agent-analyst,Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.,bmm,.claude/skills/bmad-agent-analyst/SKILL.md
bmad-agent-architect,bmad-agent-architect,System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.,bmm,.claude/skills/bmad-agent-architect/SKILL.md
bmad-agent-dev,bmad-agent-dev,Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.,bmm,.claude/skills/bmad-agent-dev/SKILL.md
bmad-agent-pm,bmad-agent-pm,Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.,bmm,.claude/skills/bmad-agent-pm/SKILL.md
bmad-agent-tech-writer,bmad-agent-tech-writer,Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.,bmm,.claude/skills/bmad-agent-tech-writer/SKILL.md
bmad-agent-ux-designer,bmad-agent-ux-designer,UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.,bmm,.claude/skills/bmad-agent-ux-designer/SKILL.md
bmad-architecture,bmad-architecture,"Produce the architecture: a lean spine of invariants that keeps everything built from it consistent, projected into whatever format the work needs. Use when the user says "create the architecture", "create technical architecture", "architecture spine", or "create a solution design".",bmm,.claude/skills/bmad-architecture/SKILL.md
bmad-brainstorming,bmad-brainstorming,Facilitate a brainstorming session using diverse creative techniques. Use when the user says,core,.claude/skills/bmad-brainstorming/SKILL.md
bmad-check-implementation-readiness,bmad-check-implementation-readiness,"Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says "check implementation readiness".",bmm,.claude/skills/bmad-check-implementation-readiness/SKILL.md
bmad-checkpoint-preview,bmad-checkpoint-preview,"LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says "checkpoint", "human review", or "walk me through this change".",bmm,.claude/skills/bmad-checkpoint-preview/SKILL.md
bmad-code-review,bmad-code-review,"Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says "run code review" or "review this code"",bmm,.claude/skills/bmad-code-review/SKILL.md
bmad-correct-course,bmad-correct-course,Manage significant changes during sprint execution. Use when the user says "correct course" or "propose sprint change",bmm,.claude/skills/bmad-correct-course/SKILL.md
bmad-create-architecture,bmad-create-architecture,DEPRECATED â€” consolidated into bmad-architecture create intent - this skill will be removed in v7 in favor of `bmad-architecture`.,bmm,.claude/skills/bmad-create-architecture/SKILL.md
bmad-create-epics-and-stories,bmad-create-epics-and-stories,Break requirements into epics and user stories. Use when the user says "create the epics and stories list",bmm,.claude/skills/bmad-create-epics-and-stories/SKILL.md
bmad-create-prd,bmad-create-prd,DEPRECATED â€” consolidated into bmad-prd create intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-create-prd/SKILL.md
bmad-create-story,bmad-create-story,Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says "create the next story" or "create story [story identifier]",bmm,.claude/skills/bmad-create-story/SKILL.md
bmad-customize,bmad-customize,Authors and updates customization overrides for installed BMad skills. Use when the user says,core,.claude/skills/bmad-customize/SKILL.md
bmad-dev-auto,bmad-dev-auto,One iteration of an unattended development loop. Use when invoked by name.,bmm,.claude/skills/bmad-dev-auto/SKILL.md
bmad-dev-story,bmad-dev-story,Execute story implementation following a context filled story spec file. Use when the user says "dev this story [story file]" or "implement the next story in the sprint plan",bmm,.claude/skills/bmad-dev-story/SKILL.md
bmad-document-project,bmad-document-project,Document brownfield projects for AI context. Use when the user says "document this project" or "generate project docs",bmm,.claude/skills/bmad-document-project/SKILL.md
bmad-domain-research,bmad-domain-research,Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry,bmm,.claude/skills/bmad-domain-research/SKILL.md
bmad-edit-prd,bmad-edit-prd,DEPRECATED â€” consolidated into bmad-prd update intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-edit-prd/SKILL.md
bmad-editorial-review-prose,bmad-editorial-review-prose,Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose,core,.claude/skills/bmad-editorial-review-prose/SKILL.md
bmad-editorial-review-structure,bmad-editorial-review-structure,"Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure",core,.claude/skills/bmad-editorial-review-structure/SKILL.md
bmad-forge-idea,bmad-forge-idea,"Pressure-test an idea through persona-driven interrogation until it hardens, proves out, or dies cheaply. Use when the user says",core,.claude/skills/bmad-forge-idea/SKILL.md
bmad-generate-project-context,bmad-generate-project-context,Create project-context.md with AI rules. Use when the user says "generate project context" or "create project context",bmm,.claude/skills/bmad-generate-project-context/SKILL.md
bmad-help,bmad-help,"Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad.",core,.claude/skills/bmad-help/SKILL.md
bmad-index-docs,bmad-index-docs,Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder,core,.claude/skills/bmad-index-docs/SKILL.md
bmad-market-research,bmad-market-research,Conduct market research on competition and customers. Use when the user says they need market research,bmm,.claude/skills/bmad-market-research/SKILL.md
bmad-party-mode,bmad-party-mode,"Orchestrates lively group discussions between installed BMAD agents or custom personas, and helps author custom parties. Use when the user requests party mode, a roundtable, or multiple agent perspectives â€” or wants to create/configure a party, define personas, or build an AI focus-group panel.",core,.claude/skills/bmad-party-mode/SKILL.md
bmad-prd,bmad-prd,"Create, update, or validate a PRD. Use when the user wants help producing, editing, or validating a PRD.",bmm,.claude/skills/bmad-prd/SKILL.md
bmad-prfaq,bmad-prfaq,Working Backwards PRFAQ challenge that stress-tests a product concept customer-first. Use when the user requests to,bmm,.claude/skills/bmad-prfaq/SKILL.md
bmad-product-brief,bmad-product-brief,"Create, update, or validate a product brief. Use when the user wants help producing, editing, or validating a brief.",bmm,.claude/skills/bmad-product-brief/SKILL.md
bmad-qa-generate-e2e-tests,bmad-qa-generate-e2e-tests,Generate end to end automated tests for existing features. Use when the user says "create qa automated tests for [feature]",bmm,.claude/skills/bmad-qa-generate-e2e-tests/SKILL.md
bmad-quick-dev,bmad-quick-dev,"Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project",bmm,.claude/skills/bmad-quick-dev/SKILL.md
bmad-retrospective,bmad-retrospective,Post-epic review to extract lessons and assess success. Use when the user says "run a retrospective" or "lets retro the epic [epic]",bmm,.claude/skills/bmad-retrospective/SKILL.md
bmad-review-adversarial-general,bmad-review-adversarial-general,Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something,core,.claude/skills/bmad-review-adversarial-general/SKILL.md
bmad-review-edge-case-hunter,bmad-review-edge-case-hunter,"Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.",core,.claude/skills/bmad-review-edge-case-hunter/SKILL.md
bmad-shard-doc,bmad-shard-doc,"Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document",core,.claude/skills/bmad-shard-doc/SKILL.md
bmad-spec,bmad-spec,"Distill any intent input into the SPEC kernel + companions â€” the canonical, preservation-validated machine contract for downstream work. Use when the user says "create a spec", "distill this into a spec", "validate this spec", or "update the spec".",core,.claude/skills/bmad-spec/SKILL.md
bmad-sprint-planning,bmad-sprint-planning,Generate sprint status tracking from epics. Use when the user says "run sprint planning" or "generate sprint plan",bmm,.claude/skills/bmad-sprint-planning/SKILL.md
bmad-sprint-status,bmad-sprint-status,Summarize sprint status and surface risks. Use when the user says "check sprint status" or "show sprint status",bmm,.claude/skills/bmad-sprint-status/SKILL.md
bmad-technical-research,bmad-technical-research,Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report,bmm,.claude/skills/bmad-technical-research/SKILL.md
bmad-ux,bmad-ux,Plan UX patterns and design specifications. Use when the user says "lets create UX design" or "create UX specifications" or "help me plan the UX",bmm,.claude/skills/bmad-ux/SKILL.md
bmad-validate-prd,bmad-validate-prd,DEPRECATED â€” consolidated into bmad-prd validate intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-validate-prd/SKILL.md
